Statistic,Per 90,Percentile
Non-Penalty Goals,0.08,11
npxG,0.05,2
Shots Total,0.77,2
Assists,0.06,8
xA,0.09,9
npxG+xA,0.14,1
Shot-Creating Actions,2.31,18
,,
Passes Attempted,36.67,45
Pass Completion %,70.80%,25
Progressive Passes,2.92,43
Progressive Carries,4.57,21
Dribbles Completed,0.72,7
Touches (Att Pen),2.67,16
Progressive Passes Rec,4.41,15
,,
Pressures,21.27,92
Tackles,1.96,88
Interceptions,1.54,97
Blocks,1.9,93
Clearances,1.1,90
Aerials won,1.98,92
